"GYLDIGE STEMMER I ALT";"Ikast-Brande";24776;25297;25002
"GYLDIGE STEMMER I ALT";"Lemvig";14181;14003;13518
"GYLDIGE STEMMER I ALT";"Ringkøbing-Skjern";36395;36706;35568
"GYLDIGE STEMMER I ALT";"Skive";30911;31157;30092
"GYLDIGE STEMMER I ALT";"Struer";14601;14549;13894
"GYLDIGE STEMMER I ALT";"Viborg";58431;59898;59636
"GYLDIGE STEMMER I ALT";"Brønderslev";22757;23258;22605
"GYLDIGE STEMMER I ALT";"Frederikshavn";40092;40403;38938
"GYLDIGE STEMMER I ALT";"Hjørring";42313;42924;41601
"GYLDIGE STEMMER I ALT";"Jammerbugt";24723;25126;24716
"GYLDIGE STEMMER I ALT";"Læsø";1377;1345;1247
"GYLDIGE STEMMER I ALT";"Mariagerfjord";26865;27003;26408
"GYLDIGE STEMMER I ALT";"Morsø";14233;14155;13578
"GYLDIGE STEMMER I ALT";"Rebild";18136;18516;18485
"GYLDIGE STEMMER I ALT";"Thisted";29045;28909;28111
"GYLDIGE STEMMER I ALT";"Vesthimmerlands";23572;23601;22866
"GYLDIGE STEMMER I ALT";"Aalborg";125880;130139;131219
"A. Socialdemokratiet";"København";75695;61995;73080
"A. Socialdemokratiet";"Frederiksberg";13106;10797;14129
"A. Socialdemokratiet";"Dragør";1661;1404;1983
"A. Socialdemokratiet";"Tårnby";7441;6509;7561
"A. Socialdemokratiet";"Albertslund";4944;4823;4836
"A. Socialdemokratiet";"Ballerup";10760;9950;10487
"A. Socialdemokratiet";"Brøndby";6711;6455;6635
"A. Socialdemokratiet";"Gentofte";5938;5342;7850
"A. Socialdemokratiet";"Gladsaxe";10780;10329;11629
"A. Socialdemokratiet";"Glostrup";4173;3969;4209
"A. Socialdemokratiet";"Herlev";5437;5143;5610
"A. Socialdemokratiet";"Hvidovre";9371;8886;9738
"A. Socialdemokratiet";"Høje-Taastrup";7894;7728;7860
"A. Socialdemokratiet";"Ishøj";3538;3530;3612
"A. Socialdemokratiet";"Lyngby-Taarbæk";6782;6141;7904
"A. Socialdemokratiet";"Rødovre";7607;7270;7590
"A. Socialdemokratiet";"Vallensbæk";1886;1991;2401
"A. Socialdemokratiet";"Allerød";2488;2414;3450
"A. Socialdemokratiet";"Egedal";5543;5663;6778
"A. Socialdemokratiet";"Fredensborg";4654;4281;5139
"A. Socialdemokratiet";"Frederikssund";7005;6457;7251
"A. Socialdemokratiet";"Furesø";4611;4419;5923
"A. Socialdemokratiet";"Gribskov";5166;4799;5541
"A. Socialdemokratiet";"Halsnæs";5274;5073;5519
"A. Socialdemokratiet";"Helsingør";9523;9092;9688
"A. Socialdemokratiet";"Hillerød";7095;6190;7348
"A. Socialdemokratiet";"Hørsholm";1872;1700;2384
"A. Socialdemokratiet";"Rudersdal";4630;4094;5801
"A. Socialdemokratiet";"Bornholm";9875;9788;8661
"A. Socialdemokratiet";"Christiansø";13;13;22
"A. Socialdemokratiet";"Greve";6577;6102;7377
"A. Socialdemokratiet";"Køge";9283;8309;9517
"A. Socialdemokratiet";"Lejre";3862;3402;4267
"A. Socialdemokratiet";"Roskilde";12249;11498;14087
"A. Socialdemokratiet";"Solrød";2616;2560;3184
"A. Socialdemokratiet";"Faxe";5433;5352;5666
"A. Socialdemokratiet";"Guldborgsund";12852;13097;12657
"A. Socialdemokratiet";"Holbæk";11075;11449;12173
"A. Socialdemokratiet";"Kalundborg";7753;7872;8238
"A. Socialdemokratiet";"Lolland";7940;9279;9679
"A. Socialdemokratiet";"Næstved";15339;15208;17230
"A. Socialdemokratiet";"Odsherred";5402;5571;6276
"A. Socialdemokratiet";"Ringsted";5194;5163;5474
"A. Socialdemokratiet";"Slagelse";12633;12645;13197
"A. Socialdemokratiet";"Sorø";4544;4553;4836
"A. Socialdemokratiet";"Stevns";3533;3149;3631
"A. Socialdemokratiet";"Vordingborg";7995;8362;8975
"A. Socialdemokratiet";"Assens";7198;7841;7657
"A. Socialdemokratiet";"Faaborg-Midtfyn";8357;9115;9020
"A. Socialdemokratiet";"Kerteminde";4397;5002;5183
"A. Socialdemokratiet";"Langeland";2298;2567;2246
